江丙坤 陈美惠
徐庆平 徐悲鸿
裴永利 裴海泉
顾城 顾工
顾城 谢烨
周吕鑫 周默
周吕鑫 吴胜保
陆九渊 陆九韶
邱士楷 林志玲
邱士楷 邱弘茂
郑伦境 郑进一
彭坦 春晓
徐熙娣 许雅钧
徐熙娣 许庆祥
徐熙娣 徐熙媛
筱高雪樵 高雪樵
于佳卉 江国宾
徐帆 冯思语
徐帆 冯小刚
钱玄同 崔适
赖文峰 赖昌星
李婷芷 马景涛
李婷芷 李婷宜
蒲生氏乡 蒲生贤秀
蒋孝刚 蒋友捷
蒋孝刚 王倚惠
蒋孝刚 邱爱伦
谭家述 沈阳
唐哀帝 唐昭宗
马清伟 薛芷伦
马清伟 马锦灿
李浩天 李宝春
李浩天 李少春
日暮戈薇 日暮草太
严景耀 雷洁琼
牛子厚 牛化麟
田连章 田荫亭
田连章 田起山
田连章 田连澍
黄磊 孙莉
明道 杨雅筑
谢杏芳 傅汉洵
谢杏芳 王仪涵
谢杏芳 张洁雯
毛泽覃 毛泽民
毛泽覃 贺子珍
毛泽覃 贺怡
毛泽覃 毛泽东
毛泽东 李敏
毛泽东 邓小平
毛泽东 杨开慧
毛泽东 毛岸英
毛泽东 贺子珍
毛泽东 毛顺生
毛泽东 毛泽覃
毛泽东 罗一秀
毛泽东 毛泽民
毛泽东 毛岸青
毛泽东 朱德
毛泽东 文七妹
毛泽东 刘少奇
周文王 毕公高
周文王 卫康叔
周文王 曹叔振铎
陈颖 王金富
陈颖 秦彰
陈颖 张志敏
林姮怡 林欣荣
历小峰 葛姗姗
九鬼嘉隆 九鬼定隆
郑进一 陈茱莉
郑进一 郑俊明
郑进一 郑伦境
郑进一 贺一航
郑进一 高金素梅
郑进一 胡瓜
郑进一 林慧萍
郑进一 何庆清
佟大为 关悦
佟大为 朱雨辰
蒋友常 蒋友柏
蒋友常 蒋友青
赵岭 袁立
文根英 文智英
李凤翔 李文云
英千里 蔡葆真
英千里 蔡儒楷
谭小培 谭富英
谭小培 谭鑫培
谭小培 谭元寿
谭小培 叶盛长
谭小培 杨盛春
范玮琪 陈建州
陈玉莲 周润发
陈玉莲 陈超武
赵子琪 路金波
酒井法子 高相祐一
那正鑫 傅德威
倪匡 亦舒
倪匡 李果珍
倪匡 倪穗
谢虹雯 王瑶卿
邹市明 张传良
邹市明 冉莹颖
郭晋安 郭令山
梁咏琪 Sergio
梁咏琪 窦尔博
苍井空 范植伟
苍井空 高野二郎
苍井空 赤西仁
苍井空 麦浚龙
千里驹 区星朝
孔琳 耿乐
刘渊 刘豹
赵树海 赵又廷
赵树海 戴一瑜
梁晓天 梁天
李飞龙 姜世续
李飞龙 路凌云
李飞龙 何非凡
李飞龙 马师曾
李飞龙 红线女
王金水 施银花
黄遵宪 何如漳
黄遵宪 光绪
黄遵宪 李鸿章
黎民伟 林楚楚
黎民伟 严浩波
黎民伟 黎海山
黎民伟 黎北海
房仕德 房仕胜
房仕德 成龙
言承旭 吴建豪
金筱邦 支维永
金筱邦 金荣水
金筱邦 金月升
崔真英 崔真实
阿姆斯特朗 马克
阿姆斯特朗 凯伦
阿姆斯特朗 埃里克
骆连翔 方荣翔
彭梅魁 彭康志
张曼玲 周婧
耿飚 耿志远
耿飚 习近平
赵昆 赵惠民
赵昆 赵明生
李裹儿 武崇训
李裹儿 武三思
李裹儿 李显
尚慧敏 孙荣蕙
尚慧敏 尚长麟
尚慧敏 尚小云
尚慧敏 吴素秋
尚慧敏 李喜鸿
张彩苑 河莉秀
陈婉珍 何鸿燊
陈婉珍 何超莲
陈婉珍 何猷启
陈婉珍 何超云
侯勇 潘雨辰
刘虹 张阜新
秦昭襄王 秦惠文王
秦昭襄王 秦孝文王
罗大翠 周鑫
罗大翠 周正龙
陈照旭 陈发科
吴静钰 卢秀栋
傅丽莉 孙淳
李韵秋 李永华
白玉梅 小白玉梅
白玉梅 白玉玲
白玉梅 屠杏花
徐静斐 黎枫
徐静斐 徐庆平
徐静斐 黎群
徐静斐 黎健图
徐静斐 黎洪模
徐静斐 徐伯阳
徐静斐 徐悲鸿
徐静斐 蒋碧微
徐静斐 黎应图
戚烈云 戚家汉
戚烈云 戚扬
阚泽良 荣剑尘
阚泽良 刘增祥
阚泽良 华连仲
孔莹 孔飞越
侯长山 侯长清
侯长山 侯长松
王皃姁 王娡
释小龙 释永信
释小龙 何洁
石原裕次郎 石原慎太郎
陈宝仪 罗乐林
许钟豪 许承会
萧纶 萧衍
萧纶 萧坚
马季 马东
马季 于波
马季 侯宝林
宋哲元 孙连仲
潘汉年 潘莘臣
郝海东 郝润泽
郝海东 孙继海
万里 万伯翱
黄希庭 张庆林
黄希庭 符明秋
黄希庭 李红
黄希庭 吕厚超
黄希庭 杨东
金仲仁 王维秋
金仲仁 王维筠
杜震宇 仲书渺
唐禾香 孙毓敏
唐禾香 杜近芳
唐禾香 谢锐青
陈非侬 宫粉红
刘外 刘发
马凤图 吴懋堂
惜春 贾珍
姜昆 唐杰忠
姜昆 李静民
姜昆 姜珊
姜昆 李文华
李宝春 李少春
王清海 李斯忠
勘九郎 我爱罗
勘九郎 手鞠
袁小海 袁世海
程廷华 孙禄堂
沈烨 田卿
李肇星 秦晓梅
阎岚秋 朱文英
东条英机 东条英教
东条英机 东条辉雄
关凌 姬云飞
贺子珍 李敏
贺子珍 贺敏学
常昊 张璇
常昊 聂卫平
光武帝 汉明帝
光武帝 阴丽华
费麒 罗海琼
穆桂英 杨宗保
穆桂英 佘太君
穆桂英 杨六郎
施银花 赵瑞花
洪雁 莫少聪
朱双喜 范芷湘
朱双喜 吴芷茵
朱双喜 陈芷衫
杜勤兰 莫言
杜勤兰 管笑笑
曹纯 曹炽
曹纯 曹演
吴文藻 冰心
许德义 淑英
许德义 李寿安
白韵琴 谢伟俊
羽根直树 羽根泰正
刘索拉 瞿小松
陈美诗 孙耀威
陈水扁 赵建铭
陈水扁 陈幸妤
陈水扁 黄睿靓
陈水扁 陈致中
张闾蘅 张学良
张闾蘅 张学森
小钟 王怡仁
小钟 吴宗宪
孙双玉 孙六
司棋 潘又安
钱浩梁 曲素英
李纨 贾珠
李纨 贾兰
张庆鹏 安娜
张庆鹏 巴特尔
张庆鹏 易建联
李冰冰 朱孝天
李冰冰 李雪
加藤高明 藩士服部重文之
宋嘉树 宋美龄
宋嘉树 孙中山
犬夜叉 戈薇
犬夜叉 十六夜
犬夜叉 杀生丸
犬夜叉 桔梗
高锟 高吹万
任弼时 陈琮英
任弼时 任远远
崔建邦 唐诗咏
崔建邦 邝敏慧
丁善德 余隆
朱家鼎 钟楚红
王蓉蓉 蔡英莲
李仕凡 孙莹莹
李仕凡 李华得
金恩忠 杨德山
李蕙仙 梁启超
冯培澜 梁存真
冯培澜 朱锡昂
冯培澜 王奇
冯培澜 朱光祥
张正芳 荀慧生
张正芳 耿巧云
罗启仁 宗天意
罗启仁 李赛凤
罗启仁 汪小莉
林正英 苑琼丹
林正英 郑冰冰
汉景帝刘启 汉文帝
尹桂芳 尹小芳
基泰英 柳真
大仲马 小仲马
田壮壮 陈凯歌
马拉多纳 贝罗妮卡
马蓉 王宝强
周海水 崔兰田
周伯宜 周介孚
周伯宜 鲁迅
周伯宜 鲁瑞
徐佩瑜 徐若瑄
王采玉 蒋肇聪
何爱榆 李小龙
何爱榆 何东
何爱榆 何甘棠
何爱榆 李海泉
金妍儿 朴美姬
李淑媛 李万春
余立金 陆力行
余立金 余小敏
严慰冰 陆瑞君
严慰冰 陆定一
严慰冰 陆健健
傅希如 倪海天
傅希如 赵群
李菁 贾建国
李菁 连丽如
李菁 郭一薇
李菁 师胜杰
李菁 郭德纲
李菁 梁厚民
李菁 于谦
李菁 金文声
大S 徐熙娣
大S 蓝正龙
大S 陈建州
大S 许雅钧
大S 汪小菲
林育英 林育南
林育英 林彪
阿德尔曼 麦蒂
铫期 邓禹
铫期 铫猛
朱立伦 高思博
朱立伦 高育仁
傅作义 傅冬菊
傅作义 傅璞
傅作义 傅琪
傅作义 傅作仁
何鸿燊 何超云
何鸿燊 何福
何鸿燊 何超琼
何鸿燊 何世光
何鸿燊 陈婉珍
何鸿燊 何猷龙
何鸿燊 何超英
何鸿燊 何婉婉
何鸿燊 何超凤
何鸿燊 何婉琪
何鸿燊 何超仪
何鸿燊 何猷光
何鸿燊 黎婉华
何鸿燊 蓝琼缨
陆一婵 叶飞
陆一婵 王文芳
刘大櫆 方苞
刘大櫆 姚鼐
陈赛娟 王振义
班婕妤 汉成帝
班婕妤 班况
邵力子 傅学文
邵力子 邵伟志
何晴 许亚军
陈逸飞 宋美英
福坪安 李鹤谦
福坪安 吴鹤龄
福坪安 董鹤良
潘迎紫 陈鸿烈
乌兰夫 云亭
乌兰夫 孔飞
乌兰夫 布赫
乌兰夫 云曙碧
乌兰夫 乌可力
金瑞苗 金荣水
韩宰锡 朴率美
范紫东 范文豹
范紫东 范文驹
王狗儿 刘姥姥
秦叔宝 李渊
秦叔宝 裴仁基
秦叔宝 李世民
王梓木 王尔晴
徐艳琴 阎立品
徐艳琴 马金凤
徐艳琴 常香玉
徐艳琴 毛兰花
徐艳琴 徐文德
宋时轮 叶剑英
宋祖英 宋佳玲
宋祖英 金铁霖
杨闇公 赵宗楷
霍震霆 霍启刚
霍震霆 霍震宇
霍震霆 霍启人
田震 许巍
田震 田野
田震 田溪
邓演达 邓镜人
邓演达 黄琪翔
邓演达 宋庆龄
张斌 胡紫薇
阮斐 项堃
陆启铿 张木兰
黄月英 诸葛瞻
黄月英 诸葛尚
黄月英 诸葛京
叶崇仁 叶玉卿
丁是娥 丁婉娥
胡敦复 胡卓
钟云香 徐玉兰
关颖 戴瑞穗
关颖 蔡淑媛
关颖 蔡万春
关颖 朱志威
戈薇 日暮草太
王耀武 王鲁美
王耀武 王志盛
王耀武 王志兴
王耀武 王鲁云
王耀武 郑宜兰
张敬轩 王菀之
张敬轩 关智斌
李斯忠 兰力
